"","GN","UnterGN","Quartal","Datum","Land","Wert","Verzeichnis","Signatur","Haupttyp","Untertyp","Zusatz","Herkunftsdatei"
"7242","12229",1,"12/02",2012-04-03,"Brasilien",9575,"GKV","2B350g2","2","B","350g2","Tracker"
"7243","12230",1,"12/02",2012-04-03,"Israel",9230,"ML (GKV)","4b","4","b","","Tracker"
"7244","12231",1,"12/02",2012-04-03,"China",174906,"GKV","2B201a1","2","B","201a1","Tracker"
"7245","12232",1,"12/02",2012-04-03,"Brasilien",152676,"GKV","2B201a","2","B","201a","Tracker"
"7246","12233",1,"12/02",2012-04-03,"Brasilien",152676,"GKV","2B201a","2","B","201a","Tracker"
"7247","12234",1,"12/02",2012-04-03,"Brasilien",190264,"GKV","2B201a1","2","B","201a1","Tracker"
"7248","12235",1,"12/02",2012-04-19,"Georgien",614445,"GKV","6A002a3f","6","A","002a3f","Tracker"
"7249","12236",1,"12/02",2012-04-03,"Taiwan",685000,"GKV","2B201b1","2","B","201b1","Tracker"
"7250","12237",1,"12/02",2012-04-03,"Taiwan",685000,"GKV","2B201b1","2","B","201b1","Tracker"
"7251","12238",1,"12/02",2012-04-04,"Weissrussland",871655,"GKV","2B001a","2","B","001a","Tracker"
"7252","12239",1,"12/02",2012-04-04,"Taiwan",5640,"GKV","2B350b3","2","B","350b3","Tracker"
"7253","12240",1,"12/02",2012-04-04,"Singapur",4000,"GKV","1C231","1","C","231","Tracker"
"7254","12242",1,"12/02",2012-04-05,"Taiwan",190000,"GKV","2B201b","2","B","201b","Tracker"
"7255","12243",1,"12/02",2012-04-05,"Thailand",295000,"GKV","2B201b","2","B","201b","Tracker"
"7256","12244",1,"12/02",2012-04-05,"Russland",208690,"GKV","3A001h","3","A","001h","Tracker"
"7257","12245",1,"12/02",2012-04-05,"Thailand",270000,"GKV","2B001.b2","2","B","001b2","Tracker"
"7258","12247",1,"12/02",2012-04-10,"Niederlande",6000,"GKV","0B001b14","0","B","001b14","Tracker"
"7259","12248",1,"12/02",2012-04-10,"China",641200,"GKV","3A001a2c","3","A","001a2c","Tracker"
"7260","12249",1,"12/02",2012-04-10,"Ungarn",198000,"GKV","2B201b","2","B","201b","Tracker"
"7261","12250",1,"12/02",2012-04-10,"Brasilien",816000,"GKV","5A002a1a","5","A","002a1a","Tracker"
"7262","12251",1,"12/02",2012-04-10,"Mexiko",151596,"GKV","7A103a","7","A","103a","Tracker"
"7263","12252",1,"12/02",2012-04-10,"Oman",25000,"GKV","4A003a","4","A","003a","Tracker"
"7264","12253",1,"12/02",2012-04-10,"Mexiko",6204,"GKV","6A002a3f","6","A","002a3f","Tracker"
"7265","12253",2,"12/02",2012-04-10,"Mexiko",7225,"GKV","6A002c1","6","A","002c1","Tracker"
"7266","12253",3,"12/02",2012-04-10,"Mexiko",23200,"GKV","6A002c1","6","A","002c1","Tracker"
